Folder,Subfolder,Filename,EntryIndex,Raw Transcription
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2583.HEIC,1,No entries found
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2565.HEIC,1,"Q1: 39 | Q2: Male | Q3: Between The bay and The mountains, California, U.S.A. | Q4: 1st time | Q5: water | Q6: Old condoms | Q7: Mairbe 1.Suedes | Q8: We all shere brought supplies and personal energy/trey Thr"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2572.HEIC,1,Q1: 36 | Q2: Femaile | Q3: Genera | Q4: 8! | Q5: Socks! | Q6: deep fryer | Q7: 20 days | Q8: to feel community'
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2572.HEIC,2,Q1: 18 | Q2: Male | Q3: New York City | Q4: [Illegible] | Q5: Salar Lamp/wizard hat | Q6: Pondering orb (crystal Ball) | Q7: Lodays | Q8: Pie at 3:14 everzuuy and water
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2558.HEIC,1,Q1: 37 | Q2: Male | Q3: SEATTLE | Q4: 3 | Q5: WET WIPES | Q6: AQUA PHOR | Q7: 8 | Q8: Thoughts and prayers
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2558.HEIC,2,Q1: 34 | Q2: F | Q3: SF | Q4: first | Q5: bicycle | Q6: tea tree oil | Q7: one week | Q8: family
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2558.HEIC,3,"Q1: 27 | Q2: Laly | Q3: State live, NV | Q4: 1st | Q5: Vape | Q6: W040 | Q7: Sorb days | Q8: Smiles Really"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2582.HEIC,1,Q1: I ate my | Q2: Fraternal twin | Q3: In the womb | Q4: After taking Acid | Q5: he speaks to me | Q6: -He's gay
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2551.HEIC,1,"Q1: 38 years | Q2: female | Q3: Reno, NV | Q4: 2 times | Q5: water bottle | Q6: portable bidet | Q7: 14-20 days | Q8: accept help - meet your neighbors planning & participation"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2551.HEIC,2,"Q1: 53 years | Q2: Male | Q3: Vancouver, WA (near Portland Or) | Q4: 1ST Time | Q5: My Cup | Q6: My Cot | Q7: 2 Weeks + | Q8: friendship and Kindness"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2551.HEIC,3,Q1: 36 | Q2: M | Q3: U.S. | Q4: 6/7 | Q5: My bike | Q6: N/A | Q7: 30+ | Q8: Community/engagement
2024 Field Notes Images Pt 2,B1 - Symbolism,IMG_2447.HEIC,1,"Q1: 36 | Q2: F | Q3: CALGARY, AB, CANADA | Q4: 2 | Q5: THE OPPORTUNITY TO PLAY WITHIN THE PERCEPTION OF FREEDOM' | Q6: RELEASE, COLLECTIVE EFPER VESENCE | Q7: MEDITATIOW, MORNING,RELEASE REFLECTION. SHARED HONDURING"
2024 Field Notes Images Pt 2,B1 - Symbolism,IMG_2447.HEIC,2,Q1: 72 | Q2: F | Q3: Gambier Island BC | Q4: Virgin | Q5: It has! | Q6: The Man sambolizes rßing up From ashes-return to dust | Q7: What lies beyond
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2566.HEIC,1,"Q1: 71 | Q2: Female | Q3: Galena Forest-Rena-Ner | Q4: haven't missed one since, does Renegade | Q5: a working bike (or other means of personal transportation). | Q6: It's surprising what I don't bring - My Cochlear Implant Processor, The Playa would destroy it. | Q7: Two weeks (have a work access pass, fully stocked RV with generator | Q8: My Camp, my Comments, Emotional support/Friendship"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2566.HEIC,2,Q1: 39 | Q2: F | Q3: Pittsburgh PA | Q4: 1 | Q5: Car | Q6: Brail | Q7: 7 | Q8: Emotionally
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2566.HEIC,3,"Q1: 47 | Q2: Male | Q3: FT LAUDERDALE | Q4: 2 | Q5: E Bike | Q6: PORTABLE URINAL FOR THAT LATE NIGHT PEE'S | Q7: 8 DAYS | Q8: camp meals, social events, support"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2573.HEIC,1,"Q1: 1-23 | Q2: Fevorde | Q3: Singapore | Q4: 1 | Q5: Dum mackard Sleeping kg. | Q6: Pee cup. | Q7: 1.5 weeks. | Q8: Communicate with them, make frende, help ead fler"
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2573.HEIC,2,Q1: 36 | Q2: Mab | Q3: OAKIAND | Q4: 4-8 | Q5: TENT/CHAPSTICK | Q6: Bike chain lube | Q7: 8 | Q8: keeping me in a good mood
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2573.HEIC,3,Q1: 59 | Q2: F | Q3: Mammoth Lakes CA | Q4: 3 | Q5: my camper w/thecmpybud | Q6: zelo gravity chair-car momit to shade a sleep in it | Q7: 12-14 | Q8: Camp helps everyone to setop a break down
2024 Field Notes Images Pt 2,J1 - Survival,IMG_2552.HEIC,1,"Q1: 29 | Q2: F | Q3: Reno Nu | Q4: 2 official, I renegade | Q5: Insulin | Q6: insulen | Q7: I week-ish | Q8: Hais year-help bringing in supplies wike water/ariiks/food for mare space in the car to bring my sister wime when I come out alone - SHADE"
