Folder,Subfolder,Filename,EntryIndex,Raw Transcription
2025 Field Notes Images,B2 - Survival,IMG_4014.HEIC,1,No entries found
2025 Field Notes Images,A2 - Transformation ,IMG_4002.HEIC,1,No entries found
2025 Field Notes Images,D2 - Boundaries of Humanity,IMG_4033.HEIC,1,"Q1: 45 | Q2: F | Q3: Louisville, ky | Q4: 3 | Q5: [Blank] | Q6: Literally everything | Q7: Nope | Q8: I am a vessel of love | Q9: We are ONE"
2025 Field Notes Images,B1 - Survival,IMG_4070.HEIC,1,"Q1: 32 | Q2: Male | Q3: Baker Beach, San Francisco | Q4: 1st time | Q5: Water | Q6: Rebar stakes for grill | Q7: 10 more days | Q8: Commonal meals & Checkins"
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,1,"Q1: 62 | Q2: Male? | Q3: Kentucky, USA | Q4: 11 | Q5: 13 hour exodus, alcohol | Q6: The general Amosphere of choperation and eviles of bierner community."
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,2,Q1: 38 | Q2: Fe | Q3: S | Q4: 6 | Q5: 0 | Q6: [Blank]
2025 Field Notes Images,E1 - Relationships,IMG_4143.HEIC,1,Q1: 26 | Q2: MALE | Q3: SF | Q4: 3 | Q5: Yes. Costco connected us. Didn't last. | Q6: No. | Q7: There's a clock on it. Things move fast and distractions are everywhere.
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4124.HEIC,1,"Q1: 34 | Q2: Male | Q3: Nomad | Q4: 4 | Q5: Not sure, except our collective ID as humans | Q6: We think, Al doesn't (and Ive worked in Al). | Q7: Its possible. If a machine is Sentient, It should be treated with personhood. | Q8: Unsure | Q9: Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry."
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,1,"Q1: 39 | Q2: Male | Q3: Calgary/Cal | Q4: 1 | Q5: Yes, brought me bick | Q6: [Illegible] to roots | Q7: - Sudden Change | Q8: My women and friends"
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,2,Q1: 33 | Q2: Femcle | Q3: my house (watt to) | Q4: 0 | Q5: Ves | Q6: yes-hila lever | Q7: yes-comus | Q8: freedom
2025 Field Notes Images,F1 - Diversity & Inclusion,IMG_4151.HEIC,1,"Q1: 35 | Q2: Male | Q3: Dallas, PA (Home down) | Q4: First Timer | Q5: I'm 6'8"" and I've been told I'm very Intimadating, but I'm a very sarsitive, gentle, mindful Person. | Q6: I han matige &xtoxic ampuls tattoos on my Les, and a 2 tattoos that I gaut on 22 02/22/2022 | Q7: I Feel like people are abrand to delle to me, I make sun bo Smile and introduce myself. | Q8: No, I am who I am, anthite."
2025 Field Notes Images,C1 - Emotions & Experiences,IMG_4110.HEIC,1,"Q1: 54 | Q2: Gender-Fluid | Q3: Campbell, CA | Q4: 3 | Q5: Consent Violations, MUDDY (2023) | Q6: Body Positivity, Space to spontaneously create art, Deep yet ephemeral conversations/ interactions | Q7: Joy, Freedom of expression, Loneliness (esp. if feeling ""othered"" or excluded). | Q8: Someone's Reaction to taking a shot of ""Reaper"" infused Absinthe. | Q9: My nephew's obituary in the Temple. Other people feeling deeply in multiple situations. | Q10: SO MANY ART PIECES ! also, the sacred Fire on 6:00 37"
