Subfolder,Filename,Raw Transcription
A1 - Transformation,IMG_4064.HEIC,Q1: 44 | Q2: [Illegible] | Q3: CA (san diego)
A1 - Transformation,IMG_4053.HEIC,"1. S2 | 2. M | 3. Hawthorn Woods IL | 4. 3 | 5. Yes, Too much to say | C. Yes, "" "" | 7. Gradual | 8. Absolutely up around gender issues. Just to hear accepting as I can in all set of ways.:)"
A1 - Transformation,IMG_4059.HEIC,Q1: 26 | Q2: F | Q3: Curiosity | San Fran.
A1 - Transformation,IMG_4054.HEIC,Q1: 41 years old | Q2: female | Q3: Bend Oregon
A1 - Transformation,IMG_4062.HEIC,Q1: Poby | Q2: 40 | Q3: Mal | Q4: Kfow | Q5: 3 | Q6: 2010 | Q7: rofgar | Q8: Jodsometel
A1 - Transformation,IMG_4052.HEIC,"Q1: 42 | Q2: F | Q3: Longmont, CO"
A1 - Transformation,IMG_4058.HEIC,"Q1: yes I am even more inclusive, and I always pack it in and pack it out! | Q2: I think I changed my way of thinking about others and how creative you can be whether it's small or large scale | Q3: Team Canada"
A1 - Transformation,IMG_4061.HEIC,"Q1: Canada | Q2: Marco | Q3: 33 male Male Calgary (CAL) my house (Natto) 1 Yes, bought me dict O ves no -Sudden change- Yes -hila her -All women freedom and friends | Q4: Maddie | Q5: Carly | Q6: 33 femcle"
A1 - Transformation,IMG_4063.HEIC,"Q1: 24 | Q2: Women | Q3: Florida | Q4: 1, Virgin! | Q5: Yes. Openness + experiment others. Also a reminder of the reliance on self-expression. The knowledge principals should be consciously lived, not just this week. | Q6: Yes. Engine tells of ""you don't get it, why you experience it."" ""I also come searching for change/answers. Learned into it :) | Q7: [Illegible] | Q8: is just to be open and welcome to all without wait/hesitation. | Q9: Experimented w/others, watching Plate TV"
A1 - Transformation,IMG_4055.HEIC,"Q1: 34 | Q2: Female | Q3: Oakland, CA | Q4: 2 | Q5: Yes, it gave me more hope that many, if not most people, want to build a radically different world based on values it offers. | Q6: No, in fact I thought it was a bit trite that people had to go to a party in the desert to learn the 10 values as | Q7: Gradual | Q8: It is changing it | Q9: I don't think there is a simple factor as there is so much diversity and creativity that makes up the city, and all of those things combined create the beauty"
A1 - Transformation,IMG_4057.HEIC,"Q1: 56 | Q2: M | Q3: Cambridge | Q4: ONE | Q5: YES, TUESDAY MORNING I RAN MY FIRST ULTRAMARATHON | Q6: SURE - ANY MASSIVE NEW EXPERIENCE WILL CHANGE YOU! | Q7: STILL EVOLVING, SLOW | Q8: SHOWS YOU DOWN AND ALLOWS REAL CONVERSATIONS | Q9: LACK OR TRANSACTIONS $, ARTISTIC EXPRESSION"
A1 - Transformation,IMG_4060.HEIC,Q1: Big White | Q2: RED Toilet signs | Q3: + more hot girls will come to the barn everyone wins
A1 - Transformation,IMG_4051.HEIC,"Q1: 27 | Q2: Male | Q3: I live in the United States | Q4: 1 | Q5: Not yet | Q6: I hope so | Q7: gradual | Q8: Not really, | Q9: No |"
A1 - Transformation,IMG_4050.HEIC,Q1: SET AI | Q2: [Illegible] | Q3: [Illegible]
