Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2025 Field Notes Images,B2 - Survival,IMG_4014.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,A2 - Transformation ,IMG_4002.HEIC,1,No entries found,,,,,,,,,,,,U,,Unknown,Unknown
2025 Field Notes Images,D2 - Boundaries of Humanity,IMG_4033.HEIC,1,"Q1: 45 | Q2: F | Q3: Louisville, ky | Q4: 3 | Q5: [Blank] | Q6: Literally everything | Q7: Nope | Q8: I am a vessel of love | Q9: We are ONE",45,F,"Louisville, ky",3,[Blank],Literally everything,Nope,I am a vessel of love,We are ONE,,45,F,3,US Other,Sophomore
2025 Field Notes Images,B1 - Survival,IMG_4070.HEIC,1,"Q1: 32 | Q2: Male | Q3: Baker Beach, San Francisco | Q4: 1st time | Q5: Water | Q6: Rebar stakes for grill | Q7: 10 more days | Q8: Commonal meals & Checkins",32,Male,"Baker Beach, San Francisco",1st time,Water,Rebar stakes for grill,10 more days,Commonal meals & Checkins,,,32,M,1,Local/West,Virgin
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,1,"Q1: 62 | Q2: Male? | Q3: Kentucky, USA | Q4: 11 | Q5: 13 hour exodus, alcohol | Q6: The general Amosphere of choperation and eviles of bierner community.",62,Male?,"Kentucky, USA",11,"13 hour exodus, alcohol",The general Amosphere of choperation and eviles of bierner community.,,,,,62,O,11,US Other,Elder
2025 Field Notes Images,C2 - Emotions & Experiences,IMG_4026.HEIC,2,Q1: 38 | Q2: Fe | Q3: S | Q4: 6 | Q5: 0 | Q6: [Blank],38,Fe,S,6,0,[Blank],,,,,38,O,6,US Other,Veteran
2025 Field Notes Images,E1 - Relationships,IMG_4143.HEIC,1,Q1: 26 | Q2: MALE | Q3: SF | Q4: 3 | Q5: Yes. Costco connected us. Didn't last. | Q6: No. | Q7: There's a clock on it. Things move fast and distractions are everywhere.,26,MALE,SF,3,Yes. Costco connected us. Didn't last.,No.,There's a clock on it. Things move fast and distractions are everywhere.,,,,26,M,3,Local/West,Sophomore
2025 Field Notes Images,D1 - Boundaries of Humanity,IMG_4124.HEIC,1,"Q1: 34 | Q2: Male | Q3: Nomad | Q4: 4 | Q5: Not sure, except our collective ID as humans | Q6: We think, Al doesn't (and Ive worked in Al). | Q7: Its possible. If a machine is Sentient, It should be treated with personhood. | Q8: Unsure | Q9: Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry.",34,Male,Nomad,4,"Not sure, except our collective ID as humans","We think, Al doesn't (and Ive worked in Al).","Its possible. If a machine is Sentient, It should be treated with personhood.",Unsure,"Im an animist, So I think all things have personhood. Thus the lines of human & the more than human world get blurry.",,34,M,4,US Other,Veteran
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,1,"Q1: 39 | Q2: Male | Q3: Calgary/Cal | Q4: 1 | Q5: Yes, brought me bick | Q6: [Illegible] to roots | Q7: - Sudden Change | Q8: My women and friends",39,Male,Calgary/Cal,1,"Yes, brought me bick",[Illegible] to roots,- Sudden Change,My women and friends,,,39,M,1,Local/West,Virgin
2025 Field Notes Images,A1 - Transformation,IMG_4061.HEIC,2,Q1: 33 | Q2: Femcle | Q3: my house (watt to) | Q4: 0 | Q5: Ves | Q6: yes-hila lever | Q7: yes-comus | Q8: freedom,33,Femcle,my house (watt to),0,Ves,yes-hila lever,yes-comus,freedom,,,33,O,0,US Other,Sophomore
